experiment,model,memorize_count,background_count,string_length,stage,forget_epochs,exact_recall,exact_matches,num_examples,avg_target_log_prob,avg_target_log_loss
gpt2_medium_retention_bg1024_lr2e5_20260602,gpt2-medium,512,1024,12,forget,2,0.015625,8,512,-1.4161622952026456,1.4161622952026456
gpt2_medium_retention_bg1024_lr2e5_20260602,gpt2-medium,512,1024,12,forget,4,0.021484375,11,512,-1.4124643233125376,1.4124643233125376
gpt2_medium_retention_bg1024_lr2e5_20260602,gpt2-medium,512,1024,12,forget,8,0.013671875,7,512,-2.081374749218511,2.081374749218511
gpt2_medium_retention_bg1024_lr2e6_20260602,gpt2-medium,512,1024,12,memorize,0,1.0,512,512,-6.208676631381129e-05,6.208676631381129e-05
gpt2_medium_retention_bg1024_lr2e6_20260602,gpt2-medium,512,1024,12,forget,1,1.0,512,512,-0.001427045627986065,0.001427045627986065
gpt2_medium_retention_bg1024_lr2e6_20260602,gpt2-medium,512,1024,12,forget,2,0.98828125,506,512,-0.003884745019018168,0.003884745019018168
gpt2_medium_retention_bg1024_lr2e6_20260602,gpt2-medium,512,1024,12,forget,4,0.951171875,487,512,-0.014000980336030464,0.014000980336030464
gpt2_medium_retention_bg1024_lr2e6_20260602,gpt2-medium,512,1024,12,forget,8,0.869140625,445,512,-0.04824452505665294,0.04824452505665294
gpt2_medium_retention_bg4096_lr2e6_20260602,gpt2-medium,512,4096,12,memorize,0,1.0,512,512,-6.208676631381129e-05,6.208676631381129e-05
gpt2_medium_retention_bg4096_lr2e6_20260602,gpt2-medium,512,4096,12,forget,1,0.9453125,484,512,-0.017582040431980427,0.017582040431980427
gpt2_medium_retention_bg4096_lr2e6_20260602,gpt2-medium,512,4096,12,forget,2,0.806640625,413,512,-0.06474343948102387,0.06474343948102387
gpt2_medium_retention_bg4096_lr2e6_20260602,gpt2-medium,512,4096,12,forget,4,0.41015625,210,512,-0.29962941406298554,0.29962941406298554
gpt2_medium_retention_bg4096_lr2e6_20260602,gpt2-medium,512,4096,12,forget,8,0.09765625,50,512,-0.8538375449085586,0.8538375449085586
gpt2_medium_retention_bg4096_lr5e7_20260602,gpt2-medium,512,4096,12,memorize,0,1.0,512,512,-6.208676631381129e-05,6.208676631381129e-05
gpt2_medium_retention_bg4096_lr5e7_20260602,gpt2-medium,512,4096,12,forget,1,1.0,512,512,-0.0009818877548568724,0.0009818877548568724
gpt2_medium_retention_bg4096_lr5e7_20260602,gpt2-medium,512,4096,12,forget,2,0.990234375,507,512,-0.003406779691131732,0.003406779691131732
gpt2_medium_retention_bg4096_lr5e7_20260602,gpt2-medium,512,4096,12,forget,4,0.9609375,492,512,-0.01173100718736262,0.01173100718736262
gpt2_medium_retention_bg4096_lr5e7_20260602,gpt2-medium,512,4096,12,forget,8,0.8671875,444,512,-0.045191244870794386,0.045191244870794386
smoke,sshleifer/tiny-gpt2,16,64,8,memorize,0,0.0,0,16,-10.827855515987315,10.827855515987315
smoke,sshleifer/tiny-gpt2,16,64,8,forget,1,0.0,0,16,-10.826641914692331,10.826641914692331
smoke_runner,sshleifer/tiny-gpt2,2,4,3,memorize,0,0.0,0,2,-10.825924634933472,10.825924634933472
smoke_runner,sshleifer/tiny-gpt2,2,4,3,forget,1,0.0,0,2,-10.826038837432861,10.826038837432861
